Source,Target,Weight,Type,Clausewitz_Concept,Data_Quality,Pacific_Link
Flintlock Musket (Brown Bess),American_Revolution_Political_Goal,2,Political_Continuation,Political_Continuation,verified,"1776 Independence - political cause drives weapon choice"
Flintlock Pistol & Cavalry Carbines,Cavalry_Tactical_Advantage,1,Center_of_Gravity,Center_of_Gravity,verified,"Specialized cavalry = early war重心"
Springfield Model 1841 Rifle,MexAm_War_Territorial_Gain,2,Political_Continuation,Political_Continuation,verified,"1846-48 war expanded US territory to Pacific"
Rifled Musket (Springfield/Enfield),Civil_War_Union_Victory,3,Center_of_Gravity,Center_of_Gravity,verified,"Rifled musket = Union infantry dominance; 300+ yard fire"
Gatling Gun Model 1861,Industrial_Logistics_Scaling,2,Friction,Friction,verified,"First machine gun → supply/logistics friction emerges"
Ironclad Warships,Naval_Blockade_Coastal_Control,3,Center_of_Gravity,Center_of_Gravity,verified,"Ironclads enabled coastal closure → Confederate war重心 break"
Rifled Musket (Springfield/Enfield),Friction_Mass_Casualties,3,Friction,Friction,verified,"Minié ball + rifling = mass casualties; medical/logistics drag"
Gatling Gun Model 1861,Friction_Medical_Scale,2,Friction,Friction,verified,"Gatling → more wounded = field hospital overload"
Krag-Jorgensen & M1893 Springfield,Spanish-American_War_Colonial_Control,2,Political_Continuation,Political_Continuation,verified,"1898 → Philippines/Pacific foothold; imperial extension"
Krag-Jorgensen & M1893 Springfield,Pacific_Foothold_1898,3,Center_of_Gravity,Center_of_Gravity,verified,"Magazine rifle enabled colonial pacification campaigns"
M1917 Enfield / M1903 Springfield,WWI_Trench_Warfare_Stalemate,2,Friction,Friction,verified,"Mass rifle production → attrition/friction era"
M1918 BAR,WWI_Combined_Arms_Integration,2,Center_of_Gravity,Center_of_Gravity,verified,"First automatic rifle → infantry重心 shift to suppress fire"
M1 Garand,WWII_Semi_Auto_Era,2,Center_of_Gravity,Center_of_Gravity,verified,"M1 Garand = US infantry firepower superiority"
M1 Garand,Allied_Industrial_Capacity,3,Political_Continuation,Political_Continuation,verified,"Mass production of M1 = Allied war sustainability重心"
M3 Grease Gun Submachine Gun,WWII_Close_Quarter_Combat,1,Friction,Friction,primary,"Close combat in Pacific islands → high friction in jungle ops"
M1 Carbine,WWII_Paratrooper_Mobility,2,Center_of_Gravity,Center_of_Gravity,primary,"Lightweight carbine enabled airborne operation flexibility"
Atomic Bomb,Pacific_Theater_WWII,3,Political_Continuation,Political_Continuation,verified,"Hiroshima/Nagasaki → Japanese surrender; war end via extreme tech"
Atomic Bomb,Nuclear_Deterrence_ColdWar_Doctrine,3,Center_of_Gravity,Center_of_Gravity,primary,"Nuclear = Cold War strategic平衡; first strike capability"
Hydrogen Bomb,Thermonuclear_Race_Friction,2,Friction,Friction,primary,"1952 → arms race escalation; procurement friction intensifies"
M14 Rifle,Korean_War_Firepower_Competition,2,Friction,Friction,primary,"7.62mm NATO → logistical standardization friction"
M16 Rifle,Vietnam_War_Tech_Advantage,2,Center_of_Gravity,Center_of_Gravity,primary,"M16 = US firepower advantage in jungle; 5.56mm revolution"
M16 Rifle,Friction_Vietnam_Logistics,2,Friction,Friction,primary,"Early M16 jamming issues → reliability friction; ammo compatibility"
M60 General Purpose Machine Gun,VIetnam_Heavy_Fire_Support,1,Center_of_Gravity,Center_of_Gravity,primary,"Sustained fire = patrol base defense重心"
AGM-45 Shrike Anti-radiation Missile,SEAD_Pacific_Suppression,2,Center_of_Gravity,Center_of_GGravity,primary,"SEAD = enemy air defense重心 elimination"
M1A1 Abrams Tank,Gulf_War_Technological_Dominance,2,Political_Continuation,Political_Continuation,verified,"1991 → Precision tech enables swift political objective"
M1A1 Abrams Tank,Friction_Desert_Logistics,2,Friction,Friction,verified,"100km+ combat range → fuel/ammo supply friction"
F-117 Nighthawk Stealth Aircraft,Stealth_Revolution_Air_Dominance,3,Center_of_Gravity,Center_of_Gravity,verified,"Stealth = air superiority重心 shift; radar invisibility"
Tomahawk Cruise Missile,Precision_Strike_Political_Target,2,Political_Continuation,Political_Continuation,verified,"1500km range → hit strategic targets without ground presence"
Tomahawk Cruise Missile,Friction_Coalition_Coordination,2,Friction,Friction,primary,"Multi-branch coordination = command/control friction"
MQ-1 Predator Drone,ISR_Extended_Sensor_Range,2,Center_of_Gravity,Center_of_Gravity,primary,"UAV extended battlefield awareness → enemy force identification重心"
M4 Carbine Modernized,War_on_Terror_Rapid_Deployment,2,Friction,Friction,verified,"Modularity → field adaptation friction reduced"
F-35 Lightning II Block 4,Network_Centric_Warfare,3,Center_of_Gravity,Center_of_Gravity,estimated,"Sensor fusion = combined arms connectivity重心"
F-35 Lightning II Block 4,Indo-Pacific_Modern,3,Political_Continuation,Political_Continuation,estimated,"F-35 deployed Japan/S.Korea/Australia → Pacific alliance tech"
Switchblade 600 Kamikaze,Drone_Warfare_Lethality_Democratization,2,Friction,Friction,estimated,"Loitering munition → enemy air defense重心 shifts"
Switchblade 600 Kamikaze,Ukraine_Pacific_Era,2,Political_Continuation,Political_Continuation,estimated,"Ukraine war → similar systems sought by Taiwan/Philippines"
AI-Powered ISR (Gorgon/Stare),AI_Surveillance_Networks,3,Center_of_Gravity,Center_of_Gravity,estimated,"Computer vision = real-time battlefield awareness → decision speed重心"
AI-Powered ISR (Gorgon/Stare),Friction_Cognitive_Overload,2,Friction,Friction,estimated,"ISR data flood → processing friction for human analysts"
LAWS Lethal Autonomous Weapon Systems,Moral_Outsourcing_Dilemma,3,Friction,Friction,estimated,"AI selects targets → human moral friction in accountability"
LAWS Lethal Autonomous Weapon Systems,AI_Pacific_Future,2,Political_Continuation,Political_Continuation,estimated,"LAWS development → Pacific arms race; policy vacuum"
AI-Powered ISR (Gorgon/Stare),LAWS_Lethal_Chain,2,Center_of_Gravity,Center_of_Gravity,estimated,"ISR → targeting chain = kill web重心; reduced human involvement"
